"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2016-2781","coreutils","8.32-4.1ubuntu1.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","dirmngr","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-6297","dpkg","1.21.1ubuntu2.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-27943","gcc-12-base","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-4039","gcc-12-base","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gnupg","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gnupg-l10n","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gnupg-utils","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-30258","gnupg2","2.2.27-3ubuntu2.1","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gnupg2","2.2.27-3ubuntu2.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gpg","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gpg-agent","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gpg-wks-client","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gpg-wks-server","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gpgconf","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gpgsm","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-3219","gpgv","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-0395","libc-bin","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-4802","libc-bin","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-8058","libc-bin","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-0395","libc6","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-4802","libc6","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-8058","libc6","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-1390","libcap2","1:2.44-1ubuntu0.22.04.1","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-1390","libcap2-bin","1:2.44-1ubuntu0.22.04.1","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-27943","libgcc-s1","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-4039","libgcc-s1","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-2236","libgcrypt20","1.9.4-3ubuntu3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-12243","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-32988","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-32989","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-32990","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-6395","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-3596","libgssapi-krb5-2","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-37370","libgssapi-krb5-2","1.19.2-2ubuntu0.3","MEDIUM"
