"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-37371","libgssapi-krb5-2","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-24528","libgssapi-krb5-2","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-3576","libgssapi-krb5-2","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-26458","libgssapi-krb5-2","1.19.2-2ubuntu0.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-26461","libgssapi-krb5-2","1.19.2-2ubuntu0.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-3596","libk5crypto3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-37370","libk5crypto3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-37371","libk5crypto3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-24528","libk5crypto3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-3576","libk5crypto3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-26458","libk5crypto3","1.19.2-2ubuntu0.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-26461","libk5crypto3","1.19.2-2ubuntu0.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-3596","libkrb5-3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-37370","libkrb5-3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-37371","libkrb5-3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-24528","libkrb5-3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-3576","libkrb5-3","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-26458","libkrb5-3","1.19.2-2ubuntu0.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-26461","libkrb5-3","1.19.2-2ubuntu0.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-3596","libkrb5support0","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-37370","libkrb5support0","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-37371","libkrb5support0","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-24528","libkrb5support0","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-3576","libkrb5support0","1.19.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-26458","libkrb5support0","1.19.2-2ubuntu0.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-26461","libkrb5support0","1.19.2-2ubuntu0.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-50495","libncurses6","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-50495","libncursesw6","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-6020","libpam-modules","1.4.0-11ubuntu2.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-8941","libpam-modules","1.4.0-11ubuntu2.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-6020","libpam-modules-bin","1.4.0-11ubuntu2.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-8941","libpam-modules-bin","1.4.0-11ubuntu2.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-6020","libpam-runtime","1.4.0-11ubuntu2.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-8941","libpam-runtime","1.4.0-11ubuntu2.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-6020","libpam0g","1.4.0-11ubuntu2.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-8941","libpam0g","1.4.0-11ubuntu2.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-41409","libpcre2-8-0","10.39-3ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2017-11164","libpcre3","2:8.39-13ubuntu0.22.04.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-29088","libsqlite3-0","3.37.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-6965","libsqlite3-0","3.37.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-6119","libssl3","3.0.2-0ubuntu1.16","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-9230","libssl3","3.0.2-0ubuntu1.16","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-13176","libssl3","3.0.2-0ubuntu1.16","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-2511","libssl3","3.0.2-0ubuntu1.16","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-41996","libssl3","3.0.2-0ubuntu1.16","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-4603","libssl3","3.0.2-0ubuntu1.16","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-4741","libssl3","3.0.2-0ubuntu1.16","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-5535","libssl3","3.0.2-0ubuntu1.16","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-9143","libssl3","3.0.2-0ubuntu1.16","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-27943","libstdc++6","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-4039","libstdc++6","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-4598","libsystemd0","249.11-0ubuntu3.12","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-7008","libsystemd0","249.11-0ubuntu3.12","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-12133","libtasn1-6","4.18.0-4build1","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-50495","libtinfo6","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-4598","libudev1","249.11-0ubuntu3.12","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-7008","libudev1","249.11-0ubuntu3.12","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2022-4899","libzstd1","1.4.8+dfsg-3build1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-29383","login","1:4.8.1-2ubuntu2.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-56433","login","1:4.8.1-2ubuntu2.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-50495","ncurses-base","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-50495","ncurses-bin","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-41996","openssl","3.0.2-0ubuntu1.20","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2023-29383","passwd","1:4.8.1-2ubuntu2.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-56433","passwd","1:4.8.1-2ubuntu2.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-56406","perl-base","5.34.0-3ubuntu1.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-40909","perl-base","5.34.0-3ubuntu1.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2024-35195","python3-pip","22.0.2+dfsg-1ubuntu0.7","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-47273","python3-pip","22.0.2+dfsg-1ubuntu0.7","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-3.x","CVE-2025-45582","tar","1.34+dfsg-1ubuntu0.1.22.04.2","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2016-2781","coreutils","8.32-4.1ubuntu1.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","dirmngr","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-6297","dpkg","1.21.1ubuntu2.3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-27943","gcc-12-base","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-4039","gcc-12-base","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gnupg","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gnupg-l10n","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gnupg-utils","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-30258","gnupg2","2.2.27-3ubuntu2.1","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gnupg2","2.2.27-3ubuntu2.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gpg","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gpg-agent","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gpg-wks-client","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gpg-wks-server","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gpgconf","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gpgsm","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-3219","gpgv","2.2.27-3ubuntu2.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-0395","libc-bin","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-4802","libc-bin","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-8058","libc-bin","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-0395","libc6","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-4802","libc6","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-8058","libc6","2.35-0ubuntu3.8","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-1390","libcap2","1:2.44-1ubuntu0.22.04.1","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-27943","libgcc-s1","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-4039","libgcc-s1","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-2236","libgcrypt20","1.9.4-3ubuntu3","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-12243","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-32988","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-32989","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-32990","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-6395","libgnutls30","3.7.3-4ubuntu1.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-3596","libgssapi-krb5-2","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-24528","libgssapi-krb5-2","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-3576","libgssapi-krb5-2","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-26458","libgssapi-krb5-2","1.19.2-2ubuntu0.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-26461","libgssapi-krb5-2","1.19.2-2ubuntu0.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-3596","libk5crypto3","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-24528","libk5crypto3","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-3576","libk5crypto3","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-26458","libk5crypto3","1.19.2-2ubuntu0.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-26461","libk5crypto3","1.19.2-2ubuntu0.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-3596","libkrb5-3","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-24528","libkrb5-3","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-3576","libkrb5-3","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-26458","libkrb5-3","1.19.2-2ubuntu0.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-26461","libkrb5-3","1.19.2-2ubuntu0.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-3596","libkrb5support0","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-24528","libkrb5support0","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-3576","libkrb5support0","1.19.2-2ubuntu0.4","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-26458","libkrb5support0","1.19.2-2ubuntu0.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-26461","libkrb5support0","1.19.2-2ubuntu0.4","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-50495","libncurses6","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-50495","libncursesw6","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-6020","libpam-modules","1.4.0-11ubuntu2.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-8941","libpam-modules","1.4.0-11ubuntu2.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-6020","libpam-modules-bin","1.4.0-11ubuntu2.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-8941","libpam-modules-bin","1.4.0-11ubuntu2.5","MEDIUM"
