50,SILENT_RUNNING_LEVEL_TRANSITION_DUE_TO_RC_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
51,SILENT_RUNNING_STRESS_TEST_FAILURE,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
52,SILENT_RUNNING_LEVEL_TRANS_DUE_TO_TEMP_RISE,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
53,SILENT_RUNNING_TEMP_REDUCED_CLOCKING,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
54,SILENT_RUNNING_PWR_REDUCED_CLOCKING,CHECK_MECHANICALS,FATAL
55,SILENT_RUNNING_TEMPERATURE_READ_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
56,DISPLAY_CHANNEL_EXCEPTION,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
57,FB_LINK_TRAINING_FAILURE_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
58,FB_MEMORY_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
59,PMU_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
60,ROBUST_CHANNEL_SEC2_ERROR,RESTART_APP,NONFATAL
61,PMU_BREAKPOINT,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
62,PMU_HALT_ERROR,RESET_GPU,FATAL
63,INFOROM_DRAM_RETIREMENT_EVENT,IGNORE,NONFATAL
64,INFOROM_DRAM_RETIREMENT_FAILURE,RESET_GPU,FATAL
65,ROBUST_CHANNEL_NVENC1_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
66,ROBUST_CHANNEL_FECS_ERR_REG_ACCESS_VIOLATION,IGNORE,NONFATAL
67,ROBUST_CHANNEL_FECS_ERR_VERIF_VIOLATION,IGNORE,NONFATAL
68,ROBUST_CHANNEL_NVDEC0_ERROR,RESTART_APP,NONFATAL
69,ROBUST_CHANNEL_GR_CLASS_ERROR,RESTART_APP,NONFATAL
70,ROBUST_CHANNEL_CE3_ERROR,RESTART_APP,NONFATAL
71,ROBUST_CHANNEL_CE4_ERROR,RESTART_APP,NONFATAL
72,ROBUST_CHANNEL_CE5_ERROR,RESTART_APP,NONFATAL
73,ROBUST_CHANNEL_NVENC2_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
74,NVLINK_ERROR,WORKFLOW_NVLINK_ERR,FATAL
75,ROBUST_CHANNEL_CE6_ERROR,RESTART_APP,NONFATAL
76,ROBUST_CHANNEL_CE7_ERROR,RESTART_APP,NONFATAL
77,ROBUST_CHANNEL_CE8_ERROR,RESTART_APP,NONFATAL
78,VGPU_START_ERROR,UPDATE_SWFW,FATAL
79,ROBUST_CHANNEL_GPU_HAS_FALLEN_OFF_THE_BUS,RESTART_BM,FATAL
80,PBDMA_PUSHBUFFER_CRC_MISMATCH,RESTART_APP,NONFATAL
81,ROBUST_CHANNEL_VGA_SUBSYSTEM_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
82,ROBUST_CHANNEL_NVJPG0_ERROR,RESTART_APP,NONFATAL
83,ROBUST_CHANNEL_NVDEC1_ERROR,RESTART_APP,NONFATAL
84,ROBUST_CHANNEL_NVDEC2_ERROR,RESTART_APP,NONFATAL
85,ROBUST_CHANNEL_CE9_ERROR,RESTART_APP,NONFATAL
86,ROBUST_CHANNEL_OFA0_ERROR,RESTART_APP,NONFATAL
87,NVTELEMETRY_DRIVER_REPORT,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
88,ROBUST_CHANNEL_NVDEC3_ERROR,RESTART_APP,NONFATAL
89,ROBUST_CHANNEL_NVDEC4_ERROR,RESTART_APP,NONFATAL
90,LTC_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
91,RESERVED_XID,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
92,EXCESSIVE_SBE_INTERRUPTS,IGNORE,NONFATAL
93,INFOROM_ERASE_LIMIT_EXCEEDED,IGNORE,NONFATAL
94,ROBUST_CHANNEL_CONTAINED_ERROR,RESTART_APP,NONFATAL
95,ROBUST_CHANNEL_UNCONTAINED_ERROR,RESET_GPU,FATAL
96,ROBUST_CHANNEL_NVDEC5_ERROR,RESTART_APP,NONFATAL
97,ROBUST_CHANNEL_NVDEC6_ERROR,RESTART_APP,NONFATAL
98,ROBUST_CHANNEL_NVDEC7_ERROR,RESTART_APP,NONFATAL
99,ROBUST_CHANNEL_NVJPG1_ERROR,RESTART_APP,NONFATAL
